Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
595,Joltik,50,47,50,57,50,65,319,Bug,Electric,Compoundeyes,Unnerve,Swarm,1 Spe,Neutral,Bug,,190,,5
596,Galvantula,70,77,60,97,60,108,472,Bug,Electric,Compoundeyes,Unnerve,Swarm,2 Spe,Neutral,Bug,,75,Lv. 36,5
597,Ferroseed,44,50,91,24,86,10,305,Grass,Steel,Iron Barbs,,,1 Def,Neutral,Grass,Mineral,255,,5
598,Ferrothorn,74,94,131,54,116,20,489,Grass,Steel,Iron Barbs,,Anticipation,2 Def,Neutral,Grass,Mineral,90,Lv. 40,5
599,Klink,40,55,70,45,60,30,300,Steel,,Plus,Minus,Clear Body,1 Def,None,Mineral,,130,,5
600,Klang,60,80,95,70,85,50,440,Steel,,Plus,Minus,Clear Body,2 Def,None,Mineral,,60,Lv. 38,5
601,Klinklang,60,100,115,70,85,90,520,Steel,,Plus,Minus,Clear Body,3 Def,None,Mineral,,30,Lv. 49,5
602,Tynamo,35,55,40,45,40,60,275,Electric,,Levitate,,,1 Spe,Neutral,Amorphous,,190,,5
603,Eelektrik,65,85,70,75,70,40,405,Electric,,Levitate,,,2 Atk,Neutral,Amorphous,,60,Lv. 39,5
604,Eelektross,85,115,80,105,80,50,515,Electric,,Levitate,,,3 Atk,Neutral,Amorphous,,30,Thunderstone,5
605,Elgyem,55,55,55,85,55,30,335,Psychic,,Telepathy,Synchronize,Analytic,1 SpA,Neutral,Human-Like,,255,,5
606,Beheeyem,75,75,75,125,95,40,485,Psychic,,Telepathy,Synchronize,Analytic,2 SpA,Neutral,Human-Like,,90,Lv. 42,5
607,Litwick,50,30,55,65,55,20,275,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,1 SpA,Neutral,Amorphous,,190,,5
608,Lampent,60,40,60,95,60,55,370,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,2 SpA,Neutral,Amorphous,,90,Lv. 41,5
609,Chandelure,60,55,90,145,90,80,520,Ghost,Fire,Flash Fire,Flame Body,Infiltrator,3 SpA,Neutral,Amorphous,,45,Dusk Stone,5
610,Axew,46,87,60,30,40,57,320,Dragon,,Rivalry,Mold Breaker,Unnerve,1 Atk,Neutral,Monster,Dragon,75,,5
611,Fraxure,66,117,70,40,50,67,410,Dragon,,Rivalry,Mold Breaker,Unnerve,2 Atk,Neutral,Monster,Dragon,60,Lv. 38,5
612,Haxorus,76,147,90,60,70,97,540,Dragon,,Rivalry,Mold Breaker,Unnerve,3 Atk,Neutral,Monster,Dragon,45,Lv. 48,5
613,Cubchoo,55,70,40,60,40,40,305,Ice,,Snow Cloak,Slush Rush,Rattled,1 Atk,Neutral,Field,,120,,5
614,Beartic,95,130,80,70,80,50,505,Ice,,Snow Cloak,Slush Rush,Swift Swim,2 Atk,Neutral,Field,,60,Lv. 37,5
615,Cryogonal,80,50,50,95,135,105,515,Ice,,Levitate,,,2 SpD,None,Mineral,,25,N,5
616,Shelmet,50,40,85,40,65,25,305,Bug,,Hydration,Shell Armor,Overcoat,1 Def,Neutral,Bug,,200,,5
617,Accelgor,80,70,40,100,60,145,495,Bug,,Hydration,Sticky Hold,Unburden,2 Spe,Neutral,Bug,,75,Trade w/ Karrablast,5
618,Stunfisk,109,66,84,81,99,32,471,Ground,Electric,Static,Limber,Sand Viel,2 HP,Neutral,Water 1,Amorphous,75,N,5
619,Mienfoo,45,85,50,55,50,65,350,Fighting,,Inner Focus,Regenerator,Reckless,1 Atk,Neutral,Field,Human-Like,180,,5
620,Mienshao,65,125,60,95,60,105,510,Fighting,,Inner Focus,Regenerator,Reckless,2 Atk,Neutral,Field,Human-Like,45,Lv. 50,5
621,Druddigon,77,120,90,60,90,48,485,Dragon,,Rough Skin,Sheer Force,Mold Breaker,2 Atk,Neutral,Dragon,Monster,45,N,5
622,Golett,59,74,50,35,50,35,303,Ground,Ghost,Iron Fist,Klutz,No Guard,1 Atk,None,Mineral,,190,,5
623,Golurk,89,124,80,55,80,55,483,Ground,Ghost,Iron Fist,Klutz,No Guard,2 Atk,None,Mineral,,90,Lv. 43,5
624,Pawniard,45,85,70,40,40,60,340,Dark,Steel,Defiant,Inner Focus,Pressure,1 Atk,Neutral,Human-Like,,120,,5
625,Bisharp,65,125,100,60,70,70,490,Dark,Steel,Defiant,Inner Focus,Pressure,2 Atk,Neutral,Human-Like,,45,Lv. 52,5
626,Bouffalant,95,110,95,40,95,55,490,Normal,,Reckless,Sap Sipper,Soundproof,2 Atk,Neutral,Field,,45,N,5
627,Rufflet,70,83,50,37,50,60,350,Normal,Flying,Keen Eye,Sheer Force,Hustle,1 Atk,M (100%),Flying,,190,,5
628,Braviary,100,123,75,57,75,80,510,Normal,Flying,Keen Eye,Sheer Force,Defiant,2 Atk,M (100%),Flying,,60,Lv. 54,5
629,Vullaby,70,55,75,45,65,60,370,Dark,Flying,Big Pecks,Overcoat,Weak Armor,1 Def,F (100%),Flying,,190,,5
630,Mandibuzz,110,65,105,55,95,80,510,Dark,Flying,Big Pecks,Overcoat,Weak Armor,2 SpA,F (100%),Flying,,60,Lv. 54,5
631,Heatmor,85,97,66,105,66,65,484,Fire,,Gluttony,Flash Fire,White Smoke,2 SpA,Neutral,Field,,90,N,5
632,Durant,58,109,112,48,48,109,484,Bug,Steel,Swarm,Hustle,Truant,2 Def,Neutral,Bug,,90,N,5
633,Deino,52,65,50,45,50,38,300,Dark,Dragon,Hustle,,,1 Atk,Neutral,Dragon,,45,,5
634,Zweilous,72,85,70,65,70,58,420,Dark,Dragon,Hustle,,,2 Atk,Neutral,Dragon,,45,Lv. 50,5
635,Hydreigon,92,105,90,125,90,98,600,Dark,Dragon,Levitate,,,3 SpA,Neutral,Dragon,,45,Lv. 64,5
636,Larvesta,55,85,55,50,55,60,360,Bug,Fire,Flame Body,,Swarm,1 Atk,Neutral,Bug,,45,,5
637,Volcarona,85,60,65,135,105,100,550,Bug,Fire,Flame Body,,Swarm,3 SpA,Neutral,Bug,,15,Lv. 59,5
638,Cobalion,91,90,129,90,72,108,580,Steel,Fighting,Justified,,,3 Def,None,-,,3,N,5
639,Terrakion,91,129,90,72,90,108,580,Rock,Fighting,Justified,,,3 Atk,None,-,,3,N,5
640,Virizion,91,90,72,90,129,108,580,Grass,Fighting,Justified,,,3 SpD,None,-,,3,N,5
641,Tornadus,79,115,70,125,80,111,580,Flying,,Prankster,,Defiant,3 Atk,M (100%),-,,3,N,5
642,Thundurus,79,115,70,125,80,111,580,Electric,Flying,Prankster,,Defiant,3 Atk,M (100%),-,,3,N,5
643,Reshiram,100,120,100,150,120,90,680,Dragon,Fire,Turboblaze,,,3 SpA,None,-,,3,N,5
644,Zekrom,100,150,120,120,100,90,680,Dragon,Electric,Teravolt,,,3 Atk,None,-,,3,N,5
645,Landorus,89,125,90,115,80,101,600,Ground,Flying,Sand Force,,Sheer Force,3 SpA,M (100%),-,,3,N,5
646,Kyurem,125,130,90,130,90,95,660,Dragon,Ice,Pressure,,,"1 HP, 1 Atk, 1 SpA",None,-,,3,N,5
647,Keldeo,91,72,90,129,90,108,580,Water,Fighting,Justified,,,3 SpA,None,-,,3,N,5
648,Meloetta (A),100,77,77,128,128,90,600,Normal,Psychic,Serene Grace,,,"1 Spe, 1 SpA, 1 SpD",None,-,,3,N,5
649,Genesect,71,120,95,120,95,99,600,Bug,Steel,Download,,,"1 Atk, 1 Spe, 1 SpA",None,-,,3,N,5
650,Chespin,56,61,65,48,45,38,313,Grass,,Overgrow,,Bulletproof,1 Def,M (87.5%),Field,,45,,6
651,Quilladin,61,78,95,56,58,57,405,Grass,,Overgrow,,Bulletproof,2 Def,M (87.5%),Field,,45,Level 16,6
652,Chesnaught,88,107,122,74,75,64,530,Grass,Fighting,Overgrow,,Bulletproof,3 Def,M (87.5%),Field,,45,Level 36,6
653,Fennekin,40,45,40,62,60,60,307,Fire,,Blaze,,Magician,1 SpA,M (87.5%),Field,,45,,6
654,Braixen,59,59,58,90,70,73,409,Fire,,Blaze,,Magician,2 SpA,M (87.5%),Field,,45,Level 16,6
655,Delphox,75,69,72,114,100,104,534,Fire,Psychic,Blaze,,Magician,3 SpA,M (87.5%),Field,,45,Level 36,6
656,Froakie,41,56,40,62,44,71,314,Water,,Torrent,,Protean,1 Spd,M (87.5%),Water 1,,45,,6
657,Frogadier,54,63,52,83,56,97,405,Water,,Torrent,,Protean,2 Spd,M (87.5%),Water 1,,45,Level 16,6
658,Greninja,72,95,67,103,71,122,530,Water,Dark,Torrent,,Protean,3 Spd,M (87.5%),Water 1,,45,Level 36,6
659,Bunnelby,38,36,38,32,36,57,237,Normal,,Pickup,Cheek Pouch,Huge Power,1 Spd,Neutral,Field,,255,,6
660,Diggersby,85,56,77,50,77,78,423,Normal,Ground,Pickup,Cheek Pouch,Huge Power,2 HP,Neutral,Field,,127,Level 20,6
661,Fletchling,45,50,43,40,38,62,278,Normal,Flying,Big Pecks,,Gale Wings,1 Spd,Neutral,Flying,,255,,6
662,Fletchinder,62,73,55,56,52,84,382,Fire,Flying,Flame Body,,Gale Wings,2 Spd,Neutral,Flying,,120,Level 17,6
663,Talonflame,78,81,71,74,69,126,499,Fire,Flying,Flame Body,,Gale Wings,3 Spd,Neutral,Flying,,45,Level 35,6
664,Scatterbug,38,35,40,27,25,35,200,Bug,,Shield Dust,Compound Eyes,Friend Guard,1 Def,Neutral,Bug,,255,,6
665,Spewpa,45,22,60,27,30,29,213,Bug,,Shed Skin,,Friend Guard,2 Def,Neutral,Bug,,120,Level 9,6
666,Vivillon,80,52,50,90,50,89,411,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,"1 HP, 1 SpA, 1 Spd",Neutral,Bug,,45,Level 12,6
667,Litleo,62,50,58,73,54,72,369,Fire,Normal,Rivalry,Unnerve,Moxie,1 SpA,F (87.5%),Field,,220,,6
668,Pyroar,86,68,72,109,66,106,507,Fire,Normal,Rivalry,Unnerve,Moxie,2 SpA,F (87.5%),Field,,65,Level 35,6
669,Flabébé,44,38,39,61,79,42,303,Fairy,,Flower Veil,,Symbiosis,1 SpD,F (100%),Fairy,,255,,6
670,Floette,54,45,47,75,98,52,371,Fairy,,Flower Veil,,Symbiosis,2 SpD,F (100%),Fairy,,120,Level 19,6
671,Florges,78,65,68,112,154,75,552,Fairy,,Flower Veil,,Symbiosis,3 SpD,F (100%),Fairy,,45,Shiny Stone,6
672,Skiddo,66,65,48,62,57,52,350,Grass,,Sap Sipper,,Grass Pelt,1 HP,Neutral,Field,,220,,6
673,Gogoat,123,100,62,97,81,68,531,Grass,,Sap Sipper,,Grass Pelt,2 HP,Neutral,Field,,45,Level 32,6
674,Pancham,67,82,62,46,48,43,348,Fighting,,Iron Fist,Mold Breaker,Scrappy,1 Atk,Neutral,Field,Human-like,220,,6
675,Pangoro,95,124,78,69,71,58,495,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,2 Atk,Neutral,Field,Human-like,65,32 w/ Dark-type in Party,6
676,Furfrou,75,80,60,65,90,102,472,Normal,,Fur Coat,,,1 Spd,Neutral,Field,,160,N,6
677,Espurr,62,48,54,63,60,68,355,Psychic,,Keen Eye,Infiltrator,Own Tempo,1 Spd,Neutral,Field,,190,,6
678,Male Meowstic,74,48,76,83,81,104,466,Psychic,,Keen Eye,Infiltrator,Prankster,2 Spd,M (100%),Field,,75,Level 25,6
679,Honedge,45,80,100,35,37,28,325,Steel,Ghost,No Guard,,,1 Def,Neutral,Mineral,,180,,6
680,Doublade,59,110,150,45,49,35,448,Steel,Ghost,No Guard,,,2 Def,Neutral,Mineral,,90,Level 35,6
681,Aegislash,60,50,140,50,140,60,500,Steel,Ghost,Stance Change,,,"2 Def, 1 SpD",Neutral,Mineral,,45,Dusk Stone,6
682,Spritzee,78,52,60,63,65,23,341,Fairy,,Healer,,Aroma Veil,1 HP,Neutral,Fairy,,200,,6
683,Aromatisse,101,72,72,99,89,29,462,Fairy,,Healer,,Aroma Veil,2 HP,Neutral,Fairy,,140,Trade w/ Satchet,6
684,Swirlix,62,48,66,59,57,49,341,Fairy,,Sweet Veil,,Unburden,1 Def,Neutral,Fairy,,200,,6
685,Slurpuff,82,80,86,85,75,72,480,Fairy,,Sweet Veil,,Unburden,2 Def,Neutral,Fairy,,140,Trade w/ Whipped Dream,6
686,Inkay,53,54,53,37,46,45,288,Dark,Psychic,Contrary,Suction Cups,Infiltrator,1 Atk,Neutral,Water 1,Water 2,190,,6
687,Malamar,86,92,88,68,75,73,482,Dark,Psychic,Contrary,Suction Cups,Infiltrator,2 Atk,Neutral,Water 1,Water 2,80,"Level 30, Console upside-down",6
688,Binacle,42,52,67,39,56,50,306,Rock,Water,Tough Claws,Sniper,Pickpocket,1 Atk,Neutral,Water 3,,120,,6
689,Barbaracle,72,105,115,54,86,68,500,Rock,Water,Tough Claws,Sniper,Pickpocket,2 Atk,Neutral,Water 3,,45,Level 39,6
690,Skrelp,50,60,60,60,60,30,320,Poison,Water,Poison Point,Poison Touch,Adaptability,1 SpD,Neutral,Water 1,Dragon,225,,6
691,Dragalge,65,75,90,97,123,44,494,Poison,Dragon,Poison Point,Poison Touch,Adaptability,2 SpD,Neutral,Water 1,Dragon,55,Level 48,6
692,Clauncher,50,53,62,58,63,44,330,Water,,Mega Launcher,,,1 SpA,Neutral,Water 1,Water 3,225,,6
693,Clawitzer,71,73,88,120,89,59,500,Water,,Mega Launcher,,,2 SpA,Neutral,Water 1,Water 3,55,Level 37,6
694,Helioptile,44,38,33,61,43,70,289,Electric,Normal,Dry Skin,Sand Veil,Solar Power,1 Spd,Neutral,Monster,Dragon,190,,6
695,Heliolisk,62,55,52,109,94,109,481,Electric,Normal,Dry Skin,Sand Veil,Solar Power,"1 SpA, 1 Spd",Neutral,Monster,Dragon,75,Sun Stone,6
696,Tyrunt,58,89,77,45,45,48,362,Rock,Dragon,Strong Jaw,,Sturdy,1 Atk,M (87.5%),Monster,Dragon,45,,6
697,Tyrantrum,82,121,119,69,59,71,521,Rock,Dragon,Strong Jaw,,Rock Head,2 Atk,M (87.5%),Monster,Dragon,45,"Level 39, Day",6
698,Amaura,77,59,50,67,63,46,362,Rock,Ice,Refrigerate,,Snow Warning,1 HP,M (87.5%),Monster,,45,,6
699,Aurorus,123,77,72,99,92,58,521,Rock,Ice,Refrigerate,,Snow Warning,2 HP,M (87.5%),Monster,,45,"Level 39, Night",6
700,Sylveon,95,65,65,110,130,60,525,Fairy,,Cute Charm,,Pixilate,2 SpD,M (87.5%),Field,,45,"High Friendship, Fairy Move Known",6
701,Hawlucha,78,92,75,74,63,118,500,Fighting,Flying,Limber,,Mold Breaker,2 Atk,Neutral,Flying,Human-like,100,N,6
702,Dedenne,67,58,57,81,67,101,431,Electric,Fairy,Unburden,,Plus,2 Spd,Neutral,Field,Fairy,180,N,6
703,Carbink,50,50,150,50,150,50,500,Rock,Fairy,Clear Body,,Sturdy,"1 Def, 1 SpD",None,Fairy,Mineral,60,N,6
704,Goomy,45,50,35,55,75,40,300,Dragon,,Sap Sipper,Hydration,Gooey,1 SpD,Neutral,Dragon,,45,,6
705,Sliggoo,68,75,53,83,113,60,452,Dragon,,Sap Sipper,Hydration,Gooey,2 SpD,Neutral,Dragon,,45,Level 40,6
706,Goodra,90,100,70,110,150,80,600,Dragon,,Sap Sipper,Hydration,Gooey,3 SpD,Neutral,Dragon,,45,"Level 50, Overworld Rain",6
707,Klefki,57,80,91,80,87,75,470,Steel,Fairy,Prankster,,Magician,1 Def,Neutral,Mineral,,75,N,6
708,Phantump,43,70,48,50,60,38,309,Grass,Ghost,Natural Cure,Frisk,Harvest,1 Atk,Neutral,Grass,Amorphous,120,,6
709,Trevenant,85,110,76,65,82,56,474,Grass,Ghost,Natural Cure,Frisk,Harvest,2 Atk,Neutral,Grass,Amorphous,60,Trade,6
710,Pumpkaboo,44,66,70,44,55,56,335,Grass,Ghost,Pickup,Frisk,Insomnia,1 Def,Neutral,Amorphous,,120,,6
711,Gourgeist,55,85,122,58,75,99,494,Grass,Ghost,Pickup,Frisk,Insomnia,2 Def,Neutral,Amorphous,,60,Trade,6
712,Bergmite,55,69,85,32,35,28,304,Ice,,Own Tempo,Ice Body,Sturdy,1 Def,Neutral,Monster,Mineral,190,,6
713,Avalugg,95,117,184,44,46,28,514,Ice,,Own Tempo,Ice Body,Sturdy,2 Def,Neutral,Monster,Mineral,55,Level 37,6
714,Noibat,40,30,35,45,40,55,245,Flying,Dragon,Frisk,Infiltrator,Telepathy,1 Spd,Neutral,Flying,Dragon,190,,6
715,Noivern,85,70,80,97,80,123,535,Flying,Dragon,Frisk,Infiltrator,Telepathy,2 Spd,Neutral,Flying,Dragon,45,Level 48,6
716,Xerneas,126,131,95,131,98,99,680,Fairy,,Fairy Aura,,,3 HP,None,-,,45,N,6
717,Yveltal,126,131,95,131,98,99,680,Dark,Flying,Dark Aura,,,3 HP,None,-,,45,N,6
718,Zygarde 50%,108,100,121,81,95,95,600,Dragon,Ground,Aura Break,Power Construct,,3 HP,None,-,,3,N,6
719,Diancie,50,100,150,100,150,50,600,Rock,Fairy,Clear Body,,,"1 Def, 2 SpD",None,-,,3,N,6
720,Hoopa (C),80,110,60,150,130,70,600,Psychic,Ghost,Magician,,,3 SpA,None,-,,3,N,6
721,Volcanion,80,110,120,130,90,70,600,Fire,Water,Water Absorb,,,3 SpA,None,-,,3,N,6
722,Rowlet,68,55,55,50,50,42,320,Grass,Flying,Overgrow,,Long Reach,1 HP,M (87.5%),Flying,,45,,7
723,Dartrix,78,75,75,70,70,52,420,Grass,Flying,Overgrow,,Long Reach,2 HP,M (87.5%),Flying,,45,Level 17,7
724,Decidueye,78,107,75,100,100,70,530,Grass,Ghost,Overgrow,,Long Reach,3 Atk,M (87.5%),Flying,,45,Level 34,7
725,Litten,45,65,40,60,40,70,320,Fire,,Blaze,,Intimidate,1 Spd,M (87.5%),Field,,45,,7
726,Torracat,65,85,50,80,50,90,420,Fire,,Blaze,,Intimidate,2 Spd,M (87.5%),Field,,45,Level 17,7
727,Incineroar,95,115,90,80,90,60,530,Fire,Dark,Blaze,,Intimidate,3 Atk,M (87.5%),Field,,45,Level 34,7
728,Popplio,50,54,54,66,56,40,320,Water,,Torrent,,Liquid Voice,1 SpA,M (87.5%),Water 1,Field,45,,7
729,Brionne,60,69,69,91,81,50,420,Water,,Torrent,,Liquid Voice,2 SpA,M (87.5%),Water 1,Field,45,Level 17,7
730,Primarina,80,74,74,126,116,60,530,Water,Fairy,Torrent,,Liquid Voice,3 SpA,M (87.5%),Water 1,Field,45,Level 34,7
731,Pikipek,35,75,30,30,30,65,265,Normal,Flying,Keen Eye,Skill Link,Pickup,1 Atk,Neutral,Flying,,255,,7
732,Trumbeak,55,85,50,40,50,75,355,Normal,Flying,Keen Eye,Skill Link,Pickup,2 Atk,Neutral,Flying,,120,Level 14,7
733,Toucannon,80,120,75,75,75,60,485,Normal,Flying,Keen Eye,Skill Link,Sheer Force,3 Atk,Neutral,Flying,,45,Level 28,7
734,Yungoos,48,70,30,30,30,45,253,Normal,,Stakeout,Strong Jaw,Adaptability,1 Atk,Neutral,Field,,255,,7
735,Gumshoos,88,110,60,55,60,45,418,Normal,,Stakeout,Strong Jaw,Adaptability,2 Atk,Neutral,Field,,127,"Level 20, Day",7
736,Grubbin,47,62,45,55,45,46,300,Bug,,Swarm,,,1 Atk,Neutral,Bug,,255,,7
737,Charjabug,57,82,95,55,75,36,400,Bug,,Battery,,,2 Def,Neutral,Bug,,120,Level 20,7
738,Vikavolt,77,70,90,145,75,43,500,Bug,Electric,Levitate,,,3 SpA,Neutral,Bug,,45,Magnet Field or Thunderstone,7
739,Crabrawler,47,82,57,42,47,63,338,Fighting,,Hyper Cutter,Iron Fist,Anger Point,1 Atk,Neutral,Water 3,,255,,7
740,Crabominable,97,132,77,62,67,43,478,Fighting,Ice,Hyper Cutter,Iron Fist,Anger Point,2 Atk,Neutral,Water 3,,60,Level up in Mount Lanakila,7
741,Pom Oricorio,75,70,70,98,70,93,476,Electric,Flying,Dancer,,,2 SpA,F (75%),Flying,,45,N,7
742,Cutiefly,40,45,40,55,40,84,304,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,1 Spd,Neutral,Bug,Fairy,190,,7
743,Ribombee,60,55,60,95,70,124,464,Bug,Fairy,Honey Gather,Sheild Dust,Sweet Veil,2 Spd,Neutral,Bug,Fairy,75,Level 25,7
744,Rockruff,45,65,40,30,40,60,280,Rock,,Keen Eye,Vital Spirit,Steadfast,1 Atk,Neutral,Field,,190,,7
745,Day Lycanroc,75,115,65,55,65,112,487,Rock,,Keen Eye,Sand Rush,Steadfast,2 Atk,Neutral,Field,,90,"Level 25, Day",7
746,Wishiwashi,45,20,20,25,25,40,175,Water,,Schooling,,,1 HP,Neutral,Water 2,,60,N,7
747,Mareanie,50,53,62,43,52,45,305,Poison,Water,Merciless,Limber,Regenerator,1 Def,Neutral,Water 1,,190,,7
748,Toxapex,50,63,152,53,142,35,495,Poison,Water,Merciless,Limber,Regenerator,2 Def,Neutral,Water 1,,75,Level 38,7
749,Mudbray,70,100,70,45,55,45,385,Ground,,Own Tempo,Stamina,Inner Focus,1 Atk,Neutral,Field,,190,,7
750,Mudsdale,100,125,100,55,85,35,500,Ground,,Own Tempo,Stamina,Inner Focus,2 Atk,Neutral,Field,,60,Level 30,7
751,Dewpider,38,40,52,40,72,27,269,Water,Bug,Water Bubble,,Water Absorb,1 SpD,Neutral,Water 1,Bug,200,,7
752,Araquanid,68,70,92,50,132,42,454,Water,Bug,Water Bubble,,Water Absorb,2 SpD,Neutral,Water 1,Bug,100,Level 22,7
753,Fomantis,40,55,35,50,35,35,250,Grass,,Leaf Guard,,Contrary,1 Atk,Neutral,Grass,,190,,7
754,Lurantis,70,105,90,80,90,45,480,Grass,,Leaf Guard,,Contrary,2 Atk,Neutral,Grass,,75,"Level 34, Day",7
755,Morelull,40,35,55,65,75,15,285,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,1 SpD,Neutral,Grass,,190,,7
756,Shiinotic,60,45,80,90,100,30,405,Grass,Fairy,Illuminate,Effect Spore,Rain Dish,2 SpD,Neutral,Grass,,75,Level 24,7
757,Salandit,48,44,40,71,40,77,320,Poison,Fire,Corrosion,,Oblivious,1 Spd,M (87.5%),Monster,Dragon,120,,7
758,Salazzle,68,64,60,111,60,117,480,Poison,Fire,Corrosion,,Oblivious,2 Spd,F (100%),Monster,Dragon,45,"Level 33, Female Only",7
759,Stufful,70,75,50,45,50,50,340,Normal,Fighting,Fluffy,Klutz,Cute Charm,1 Atk,Neutral,Field,,140,,7
760,Bewear,120,125,80,55,60,60,500,Normal,Fighting,Fluffy,Klutz,Unnerve,2 Atk,Neutral,Field,,70,Level 27,7
761,Bounsweet,42,30,38,30,38,32,210,Grass,,Leaf Guard,Oblivious,Sweet Veil,1 HP,F (100%),Grass,,235,,7
762,Steenee,52,40,48,40,48,62,290,Grass,,Leaf Guard,Oblivious,Sweet Veil,2 Spd,F (100%),Grass,,120,Level 18,7
763,Tsareena,72,120,98,50,98,72,510,Grass,,Leaf Guard,Queenly Majesty,Sweet Veil,3 Atk,F (100%),Grass,,45,"Level Up, knows Stomo",7
764,Comfey,51,52,90,82,110,100,485,Fairy,,Flower Veil,Triage,Natural Cure,2 SpD,F (75%),Grass,,60,N,7
765,Oranguru,90,60,80,90,110,60,490,Normal,Psychic,Inner Focus,Telepathy,Symbiosis,2 SpD,Neutral,Field,,45,N,7
766,Passimian,100,120,90,40,60,80,490,Fighting,,Receiver,,Defiant,2 Atk,Neutral,Field,,45,N,7
767,Wimpod,25,35,40,20,30,80,230,Bug,Water,Wimp Out,,,1 Spd,Neutral,Bug,Water 3,90,,7
768,Golisopod,75,125,140,60,90,40,530,Bug,Water,Emergency Exit,,,2 Def,Neutral,Bug,Water 3,45,Level 30,7
769,Sandygast,55,55,80,70,45,15,320,Ghost,Ground,Water Compaction,,Sand Veil,1 Def,Neutral,Amorphous,,140,,7
770,Palossand,85,75,110,100,75,35,480,Ghost,Ground,Water Compaction,,Sand Veil,2 Def,Neutral,Amorphous,,60,Level 42,7
771,Pyukumuku,55,60,130,30,130,5,410,Water,,Innards Out,,Unaware,2 SpD,Neutral,Water 1,,60,N,7
772,Type: Null,95,95,95,95,95,59,534,Normal,,Battle Armor,,,2 HP,Neutral,-,,3,,7
773,Silvally,95,95,95,95,95,95,570,Normal,,RKS System,,,3 HP,Neutral,-,,3,High Friendship,7
774,Minior,60,60,100,60,100,60,440,Rock,Flying,Shields Down,,,"1 Def, 1 SpD",Neutral,Mineral,,30,N,7
775,Komala,65,115,65,75,95,65,480,Normal,,Comatose,,,2 Atk,Neutral,Field,,45,N,7
776,Turtonator,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,2 Def,Neutral,Monster,Dragon,70,N,7
777,Togedemaru,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs,Lightning Rod,Sturdy,2 Atk,Neutral,Field,Fairy,180,N,7
778,Mimikyu,55,90,80,50,105,96,476,Ghost,Fairy,DIsguise,,,2 SpD,Neutral,Amorphous,,45,N,7
779,Bruxish,68,105,70,70,70,92,475,Water,Psychic,Dazzling,Strong Jaw,Wonder Skin,2 Atk,Neutral,Water 2,,80,N,7
780,Drampa,78,60,85,135,91,36,485,Normal,Dragon,Berserk,Sap Sipper,Cloud Nine,2 SpA,Neutral,Monster,Dragon,70,N,7
781,Dhelmise,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,2 Atk,None,Mineral,,25,N,7
782,Jangmo-o,45,55,65,45,45,45,300,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,1 Def,Neutral,Dragon,,45,,7
783,Hakamo-o,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,2 Def,Neutral,Dragon,,45,Level 35,7
784,Kommo-o,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof,Soundproof,Overcoat,3 Def,Neutral,Dragon,,45,Level 45,7
785,Tapu Koko,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge,,Telepathy,3 Spd,None,-,,3,N,7
786,Tapu Lele,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge,,Telepathy,3 SpA,None,-,,3,N,7
787,Tapu Bulu,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge,,Telepathy,3 Atk,None,-,,3,N,7
788,Tapu Fini,70,75,115,95,130,85,570,Water,Fairy,Misty Surge,,Telepathy,3 SpD,None,-,,3,N,7
789,Cosmog,43,29,31,29,31,37,200,Psychic,,Unaware,,,1 HP,None,-,,45,,7
790,Cosmoem,43,29,131,29,131,37,400,Psychic,,Sturdy,,,"1 Def, 1 SpD",None,-,,45,Level 43,7
791,Solgaleo,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,3 Atk,None,-,,45,"Level 53 (Sun, U-Sun, Sword)",7
792,Lunala,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,3 SpA,None,-,,45,"Level 53 (Moon, U-Moon, Shield)",7
793,Nihilego,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,3 SpD,None,-,,45,N,7
794,Buzzwole,107,139,139,53,53,79,570,Bug,Fighting,Beast Boost,,,"1 Atk, 2 Def",None,-,,45,N,7
795,Pheromosa,71,137,37,137,37,151,570,Bug,Fighting,Beast Boost,,,3 Spd,None,-,,45,N,7
796,Xurkitree,83,89,71,173,71,83,570,Electric,,Beast Boost,,,3 SpA,None,-,,45,N,7
